Official_ID,Centroid_Lat_deg_N,Centroid_Lon_deg_E,Drainage_Area_km2,Elevation_m,Gravelius,Aspect_deg,Slope_deg,Land_Use_Forest_frac,Land_Use_Grass_frac,Land_Use_Wetland_frac,Land_Use_Water_frac,Land_Use_Urban_frac,Land_Use_Shrubs_frac,Land_Use_Crops_frac,Land_Use_Snow_Ice_frac,Permeability_logk_m2,Porosity_frac
05AE011,49.376670000000004,-112.8892,374.0,1221.3,1.5395,15.5056,2.4215,0.0029,0.6924,0.0103,0.0228,0.0077,0.0012,0.2627,0.0,-15.5228359545572,0.172375688195558
05AF010,49.35833,-110.725,338.0,1035.5,1.5714,260.1939,2.1899,0.001,0.8945,0.0007,0.005,0.0176,0.0045,0.0766,0.0,-14.8738831457813,0.182731961197767
05AH037,49.88778,-110.5071,215.2547,1053.1,1.7027,353.4137,2.2181,0.0314,0.5108,0.0061,0.0115,0.02,0.0085,0.4117,0.0,-16.2475308488916,0.131172837344585
05AH041,49.5805,-110.9437,439.0,1032.7,1.5486,271.4975,2.0951,0.0017,0.7276,0.0014,0.0134,0.0136,0.0031,0.2392,0.0,-15.7068512905443,0.152128279404633
05BA001,51.4286,-116.1889,422.4334,2194.5,1.7132,205.9657,18.262999999999998,0.4169,0.3849,0.0011,0.0315,0.0055,0.0137,0.0,0.1465,-15.173192584371,0.18990963628986898
05BA006,51.244440000000004,-115.8417,124.0,2267.6,1.7886,219.2014,23.7253,0.3918,0.5474,0.0014,0.0037,0.0013,0.0313,0.0,0.023,-15.1999998092651,0.189999997615814
05BA008,51.54167,-116.2944,280.0,2281.6,1.4979,216.4417,19.1056,0.3105,0.4587,0.0009,0.0402,0.0038,0.0141,0.0,0.1718,-15.181641284127,0.188142546245398
05BB001,51.17223,-115.5718,2209.5937,2137.3,2.0467,182.2644,20.0995,0.5135,0.3815,0.0024,0.0144,0.0075,0.0276,0.0,0.0531,-15.186007923212399,0.18947566393654897
05BB003,51.20667,-115.5847,133.0,2139.7,1.6021,189.342,23.5236,0.5207,0.4329,0.0009,0.0017,0.0113,0.0315,0.0,0.0009,-15.1999998092651,0.189999997615814
05BD005,51.2875,-115.5333,454.0,2233.1,1.7925,130.8722,23.3083,0.4198,0.531,0.0014,0.0037,0.0,0.0381,0.0,0.0061,-15.1999998092651,0.189999997615814
05BF016,50.950540000000004,-115.1529,9.0841,2132.9,1.3524,122.92299999999999,19.497,0.6467,0.2793,0.0032,0.0,0.0,0.0709,0.0,0.0,-15.1999998092651,0.189999997615814
05BG002,51.3,-115.1833,211.0,2183.6,1.8008,133.9571,24.7439,0.4045,0.5672,0.0004,0.0147,0.0001,0.013000000000000001,0.0,0.0002,-15.1999998092651,0.189999997615814
05BG006,51.28281,-114.8384,332.5193,1712.7,1.7118,124.2224,11.1038,0.7188,0.2158,0.0002,0.0051,0.0038,0.0561,0.0001,0.0001,-15.4999998532809,0.173846151393193
05BH003,51.12222,-114.0458,893.0,1151.6,1.3816,113.727,1.6131,0.0081,0.1097,0.0012,0.0196,0.1992,0.0119,0.6505,0.0,-15.1999998092651,0.189999997615814
05BH014,51.31191,-114.0276,247.145,1139.3,1.3662,106.0143,1.5051,0.0053,0.0271,0.0003,0.0222,0.0577,0.0034,0.884,0.0,-15.1999998092651,0.189999997615814
05BH015,51.12831,-114.5675,473.8049,1511.7,1.7728,84.4272,7.7275,0.6239,0.0897,0.0002,0.006,0.013999999999999999,0.1028,0.1634,0.0,-15.546311335485498,0.171352456552816
05BH016,51.19012,-114.1412,275.0,1212.9,1.5127,92.2243,2.2005,0.0185,0.2283,0.0008,0.0176,0.1344,0.0211,0.5794,0.0,-15.1999998092651,0.189999997615814
05BH901,51.05,-114.0167,986.0,1151.6,1.3816,113.727,1.6131,0.0081,0.1097,0.0012,0.0196,0.1992,0.0119,0.6505,0.0,-15.1999998092651,0.189999997615814
05BJ004,50.94893,-114.571,790.8277,1938.4,1.6349,89.8405,17.7042,0.5968,0.3278,0.0004,0.006,0.0089,0.0524,0.0066,0.001,-15.417900573538,0.178266881211101
05BJ005,51.0,-114.1,1220.0,1074.1,1.8908,70.477,0.7885,0.023,0.0363,0.0037,0.8353,0.0413,0.0485,0.0118,0.0,-15.1999998092651,0.189999997615814
05BJ006,50.85556,-114.7936,437.0,2121.5,1.6444,66.0065,21.6522,0.475,0.4825,0.0006,0.0054,0.0015,0.0331,0.0,0.0019,-15.310900299470001,0.184028433609348
05BJ010,50.9935,-114.1699,1189.3366,1698.5,2.1517,95.8499,12.5934,0.4659,0.2412,0.0006,0.0066,0.0371,0.0503,0.1974,0.0007,-15.386616134540601,0.179951427686362
05BK001,50.88547,-114.3268,260.5068,1350.0,1.5198,87.5669,5.6917,0.5589999999999999,0.06,0.0005,0.0029,0.0272,0.0964,0.2539,0.0,-15.526616772609,0.172412932864321
05BK003,50.906940000000006,-114.0156,442.0,1251.4,2.0106,105.7787,3.9903,0.3575,0.0653,0.0004,0.0055,0.1342,0.0914,0.3456,0.0,-15.3783965745698,0.180394019314047
05BL012,50.723890000000004,-113.9735,1493.8607,1521.2,1.7823,98.8554,9.3106,0.461,0.0993,0.0003,0.0041,0.0252,0.0644,0.3454,0.0003,-15.574422522152199,0.169838777486405
05BL013,50.77113,-114.2787,507.2165,1496.7,1.5732,102.8336,8.4834,0.6126,0.0323,0.0003,0.0019,0.0185,0.0783,0.2562,0.0,-15.763612795183699,0.159651610389833
05BL014,50.68855,-114.2449,592.1873,1764.6,1.9538,87.8459,14.3451,0.5814,0.2118,0.0002,0.0019,0.0154,0.0598,0.1289,0.0007,-15.6527928658409,0.165618836504345
05BL019,50.40506,-114.5007,773.6127,1989.3,1.7816,104.212,16.7414,0.7286,0.1929,0.0008,0.001,0.0063,0.0665,0.0035,0.0005,-15.3340423941105,0.178519146524845
05BL020,50.7125,-113.8806,1565.3,1490.9,1.854,101.1643,8.7912,0.4312,0.0944,0.0004,0.0046,0.0332,0.0618,0.3742,0.0003,-15.5529554256652,0.170994697901797
